Slice #,Xt,Yt
1,135.944206008584,194.527896995708
1,136.695278969957,193.776824034335
1,136.695278969957,193.025751072961
1,136.695278969957,192.274678111588
1,137.44635193133,191.523605150215
1,138.197424892704,190.772532188841
1,138.197424892704,190.021459227468
1,138.948497854077,189.270386266094
1,139.699570815451,188.519313304721
1,140.450643776824,187.768240343348
1,140.450643776824,187.017167381974
1,141.201716738197,186.266094420601
1,141.952789699571,185.515021459227
1,141.952789699571,184.763948497854
1,142.703862660944,184.012875536481
1,143.454935622318,183.261802575107
1,143.454935622318,182.510729613734
1,144.206008583691,181.759656652361
1,144.957081545064,181.008583690987
1,144.957081545064,180.257510729614
1,145.708154506438,179.50643776824
1,145.708154506438,178.755364806867
1,146.459227467811,178.004291845494
1,146.459227467811,177.25321888412
1,147.210300429185,176.502145922747
1,147.210300429185,175.751072961373
1,147.961373390558,175
1,148.712446351931,174.248927038627
1,149.463519313305,173.497854077253
1,150.214592274678,172.74678111588
1,150.965665236052,171.995708154506
1,151.716738197425,171.244635193133
1,152.467811158798,171.244635193133
1,153.218884120172,170.49356223176
1,153.969957081545,170.49356223176
1,154.721030042918,169.742489270386
1,155.472103004292,169.742489270386
1,156.223175965665,169.742489270386
1,156.974248927039,168.991416309013
1,157.725321888412,168.991416309013
1,158.476394849785,168.991416309013
1,159.227467811159,168.991416309013
1,159.978540772532,168.991416309013
1,160.729613733906,168.991416309013
1,161.480686695279,168.991416309013
1,162.231759656652,168.991416309013
1,162.982832618026,168.991416309013
1,163.733905579399,168.991416309013
1,164.484978540773,169.742489270386
1,165.236051502146,169.742489270386
1,165.987124463519,169.742489270386
1,166.738197424893,169.742489270386
1,167.489270386266,169.742489270386
1,168.240343347639,169.742489270386
1,168.991416309013,168.991416309013
1,169.742489270386,168.991416309013
1,170.49356223176,168.991416309013
1,171.244635193133,168.991416309013
1,171.995708154506,168.240343347639
1,172.74678111588,168.240343347639
1,173.497854077253,168.240343347639
1,174.248927038627,168.240343347639
1,175,168.240343347639
1,175.751072961373,168.991416309013
1,176.502145922747,169.742489270386
1,177.25321888412,170.49356223176
1,178.004291845494,171.244635193133
1,178.755364806867,171.995708154506
1,179.50643776824,172.74678111588
1,179.50643776824,173.497854077253
1,180.257510729614,174.248927038627
1,180.257510729614,175
1,180.257510729614,175.751072961373
1,180.257510729614,176.502145922747
1,181.008583690987,177.25321888412
1,181.008583690987,178.004291845494
1,180.257510729614,178.755364806867
1,180.257510729614,179.50643776824
1,180.257510729614,180.257510729614
1,180.257510729614,181.008583690987
1,180.257510729614,181.759656652361
1,179.50643776824,182.510729613734
1,179.50643776824,183.261802575107
1,178.755364806867,184.012875536481
1,178.755364806867,184.763948497854
1,178.004291845494,185.515021459227
1,177.25321888412,186.266094420601
1,177.25321888412,187.017167381974
1,176.502145922747,187.768240343348
1,176.502145922747,188.519313304721
1,175.751072961373,189.270386266094
1,175.751072961373,190.021459227468
1,175,190.772532188841
1,175.751072961373,191.523605150215
1,175,192.274678111588
1,175,193.025751072961
1,175,193.776824034335
1,175,194.527896995708
1,174.248927038627,195.278969957082
1,174.248927038627,196.030042918455
1,173.497854077253,196.781115879828
1,173.497854077253,197.532188841202
1,172.74678111588,198.283261802575
1,171.995708154506,199.034334763948
1,171.995708154506,199.785407725322
1,171.244635193133,200.536480686695
1,170.49356223176,201.287553648069
1,169.742489270386,202.038626609442
1,169.742489270386,202.789699570815
1,168.991416309013,203.540772532189
1,168.240343347639,204.291845493562
1,167.489270386266,204.291845493562
1,166.738197424893,205.042918454936
1,165.987124463519,205.793991416309
1,165.236051502146,205.793991416309
1,164.484978540773,205.793991416309
1,163.733905579399,205.793991416309
1,162.982832618026,206.545064377682
1,162.231759656652,205.793991416309
1,161.480686695279,206.545064377682
1,160.729613733906,205.793991416309
1,159.978540772532,206.545064377682
1,159.227467811159,205.793991416309
1,158.476394849785,206.545064377682
1,157.725321888412,205.793991416309
1,156.974248927039,206.545064377682
1,156.223175965665,205.793991416309
1,155.472103004292,206.545064377682
1,154.721030042918,205.793991416309
1,153.969957081545,206.545064377682
1,153.218884120172,206.545064377682
1,152.467811158798,207.296137339056
1,151.716738197425,207.296137339056
1,150.965665236052,207.296137339056
1,150.214592274678,208.047210300429
1,149.463519313305,208.047210300429
1,148.712446351931,208.047210300429
1,147.961373390558,208.798283261803
1,147.210300429185,208.798283261803
1,146.459227467811,208.798283261803
1,145.708154506438,208.047210300429
1,144.957081545064,208.047210300429
1,144.206008583691,208.047210300429
1,143.454935622318,207.296137339056
1,142.703862660944,206.545064377682
1,141.952789699571,205.793991416309
1,141.952789699571,205.042918454936
1,141.201716738197,204.291845493562
1,140.450643776824,203.540772532189
1,140.450643776824,202.789699570815
1,139.699570815451,202.038626609442
1,139.699570815451,201.287553648069
1,138.948497854077,200.536480686695
1,138.197424892704,199.785407725322
1,138.197424892704,199.034334763948
1,137.44635193133,198.283261802575
1,137.44635193133,197.532188841202
1,136.695278969957,196.781115879828
1,136.695278969957,196.030042918455
1,136.695278969957,195.278969957082
1,135.944206008584,194.527896995708
2,137.44635193133,191.523605150215
2,138.197424892704,190.772532188841
2,138.197424892704,190.021459227468
2,138.948497854077,189.270386266094
2,138.948497854077,188.519313304721
2,139.699570815451,187.768240343348
2,140.450643776824,187.017167381974
2,140.450643776824,186.266094420601
2,141.201716738197,185.515021459227
2,141.201716738197,184.763948497854
2,141.952789699571,184.012875536481
2,142.703862660944,183.261802575107
2,142.703862660944,182.510729613734
2,143.454935622318,181.759656652361
2,144.206008583691,181.008583690987
2,144.206008583691,180.257510729614
2,144.957081545064,179.50643776824
2,144.957081545064,178.755364806867
2,145.708154506438,178.004291845494
2,145.708154506438,177.25321888412
2,146.459227467811,176.502145922747
2,146.459227467811,175.751072961373
2,146.459227467811,175
2,147.210300429185,174.248927038627
2,147.210300429185,173.497854077253
2,147.961373390558,172.74678111588
2,148.712446351931,171.995708154506
2,149.463519313305,171.244635193133
2,150.214592274678,171.244635193133
2,150.965665236052,170.49356223176
2,151.716738197425,169.742489270386
2,152.467811158798,169.742489270386
2,153.218884120172,169.742489270386
2,153.969957081545,169.742489270386
2,154.721030042918,168.991416309013
2,155.472103004292,168.991416309013
2,156.223175965665,168.991416309013
2,156.974248927039,168.991416309013
2,157.725321888412,168.991416309013
2,158.476394849785,168.991416309013
2,159.227467811159,168.991416309013
2,159.978540772532,168.991416309013
2,160.729613733906,168.991416309013
2,161.480686695279,168.991416309013
2,162.231759656652,168.991416309013
2,162.982832618026,168.991416309013
2,163.733905579399,168.991416309013
2,164.484978540773,168.991416309013
2,165.236051502146,168.240343347639
2,165.987124463519,168.240343347639
2,166.738197424893,168.240343347639
2,167.489270386266,168.240343347639
2,168.240343347639,168.240343347639
2,168.991416309013,168.240343347639
2,169.742489270386,167.489270386266
2,170.49356223176,167.489270386266
2,171.244635193133,167.489270386266
2,171.995708154506,166.738197424893
2,172.74678111588,166.738197424893
2,173.497854077253,166.738197424893
2,174.248927038627,166.738197424893
2,175,166.738197424893
2,175.751072961373,166.738197424893
2,176.502145922747,167.489270386266
2,177.25321888412,167.489270386266
2,178.004291845494,168.240343347639
2,178.755364806867,168.991416309013
2,179.50643776824,169.742489270386
2,179.50643776824,170.49356223176
2,180.257510729614,171.244635193133
2,180.257510729614,171.995708154506
2,181.008583690987,172.74678111588
2,181.008583690987,173.497854077253
2,181.759656652361,174.248927038627
2,181.759656652361,175
2,181.759656652361,175.751072961373
2,181.759656652361,176.502145922747
2,182.510729613734,177.25321888412
2,181.759656652361,178.004291845494
2,182.510729613734,178.755364806867
2,181.759656652361,179.50643776824
2,181.759656652361,180.257510729614
2,181.008583690987,181.008583690987
2,181.008583690987,181.759656652361
2,181.008583690987,182.510729613734
2,180.257510729614,183.261802575107
2,180.257510729614,184.012875536481
2,179.50643776824,184.763948497854
2,178.755364806867,185.515021459227
2,178.755364806867,186.266094420601
2,178.004291845494,187.017167381974
2,178.004291845494,187.768240343348
2,177.25321888412,188.519313304721
2,177.25321888412,189.270386266094
2,176.502145922747,190.021459227468
2,176.502145922747,190.772532188841
2,176.502145922747,191.523605150215
2,175.751072961373,192.274678111588
2,175.751072961373,193.025751072961
2,175.751072961373,193.776824034335
2,175,194.527896995708
2,175,195.278969957082
2,174.248927038627,196.030042918455
2,174.248927038627,196.781115879828
2,173.497854077253,197.532188841202
2,172.74678111588,198.283261802575
2,172.74678111588,199.034334763948
2,171.995708154506,199.785407725322
2,171.244635193133,200.536480686695
2,170.49356223176,201.287553648069
2,169.742489270386,202.038626609442
2,168.991416309013,202.789699570815
2,168.240343347639,203.540772532189
2,167.489270386266,204.291845493562
2,166.738197424893,204.291845493562
2,165.987124463519,204.291845493562
2,165.236051502146,205.042918454936
2,164.484978540773,204.291845493562
2,163.733905579399,205.042918454936
2,162.982832618026,204.291845493562
2,162.231759656652,205.042918454936
2,161.480686695279,204.291845493562
2,160.729613733906,205.042918454936
2,159.978540772532,204.291845493562
2,159.227467811159,204.291845493562
2,158.476394849785,204.291845493562
2,157.725321888412,204.291845493562
2,156.974248927039,204.291845493562
2,156.223175965665,204.291845493562
2,155.472103004292,204.291845493562
2,154.721030042918,205.042918454936
2,153.969957081545,205.042918454936
2,153.218884120172,205.042918454936
2,152.467811158798,205.793991416309
2,151.716738197425,205.793991416309
2,150.965665236052,205.793991416309
2,150.214592274678,206.545064377682
2,149.463519313305,206.545064377682
2,148.712446351931,206.545064377682
2,147.961373390558,206.545064377682
2,147.210300429185,206.545064377682
2,146.459227467811,206.545064377682
2,145.708154506438,205.793991416309
2,144.957081545064,205.793991416309
2,144.206008583691,205.042918454936
2,143.454935622318,204.291845493562
2,142.703862660944,203.540772532189
2,141.952789699571,202.789699570815
2,141.952789699571,202.038626609442
2,141.201716738197,201.287553648069
2,140.450643776824,200.536480686695
2,140.450643776824,199.785407725322
2,139.699570815451,199.034334763948
2,138.948497854077,198.283261802575
2,138.197424892704,197.532188841202
2,138.197424892704,196.781115879828
2,137.44635193133,196.030042918455
2,137.44635193133,195.278969957082
2,137.44635193133,194.527896995708
2,137.44635193133,193.776824034335
2,137.44635193133,193.025751072961
2,137.44635193133,192.274678111588
2,137.44635193133,191.523605150215
3,138.197424892704,189.270386266094
3,138.948497854077,188.519313304721
3,138.948497854077,187.768240343348
3,139.699570815451,187.017167381974
3,139.699570815451,186.266094420601
3,140.450643776824,185.515021459227
3,140.450643776824,184.763948497854
3,141.201716738197,184.012875536481
3,141.952789699571,183.261802575107
3,141.952789699571,182.510729613734
3,142.703862660944,181.759656652361
3,142.703862660944,181.008583690987
3,143.454935622318,180.257510729614
3,143.454935622318,179.50643776824
3,144.206008583691,178.755364806867
3,144.206008583691,178.004291845494
3,144.957081545064,177.25321888412
3,144.957081545064,176.502145922747
3,145.708154506438,175.751072961373
3,145.708154506438,175
3,146.459227467811,174.248927038627
3,146.459227467811,173.497854077253
3,147.210300429185,172.74678111588
3,147.961373390558,171.995708154506
3,148.712446351931,171.244635193133
3,149.463519313305,171.244635193133
3,150.214592274678,170.49356223176
3,150.965665236052,169.742489270386
3,151.716738197425,169.742489270386
3,152.467811158798,168.991416309013
3,153.218884120172,168.991416309013
3,153.969957081545,168.991416309013
3,154.721030042918,168.240343347639
3,155.472103004292,168.240343347639
3,156.223175965665,168.240343347639
3,156.974248927039,167.489270386266
3,157.725321888412,167.489270386266
3,158.476394849785,167.489270386266
3,159.227467811159,167.489270386266
3,159.978540772532,167.489270386266
3,160.729613733906,167.489270386266
3,161.480686695279,167.489270386266
3,162.231759656652,167.489270386266
3,162.982832618026,167.489270386266
3,163.733905579399,168.240343347639
3,164.484978540773,168.240343347639
3,165.236051502146,168.240343347639
3,165.987124463519,168.240343347639
3,166.738197424893,168.240343347639
3,167.489270386266,168.240343347639
3,168.240343347639,168.240343347639
3,168.991416309013,168.240343347639
3,169.742489270386,168.240343347639
3,170.49356223176,168.240343347639
3,171.244635193133,167.489270386266
3,171.995708154506,167.489270386266
3,172.74678111588,167.489270386266
3,173.497854077253,167.489270386266
3,174.248927038627,167.489270386266
3,175,167.489270386266
3,175.751072961373,167.489270386266
3,176.502145922747,167.489270386266
3,177.25321888412,168.240343347639
3,178.004291845494,168.991416309013
3,178.755364806867,169.742489270386
3,179.50643776824,170.49356223176
3,179.50643776824,171.244635193133
3,180.257510729614,171.995708154506
3,180.257510729614,172.74678111588
3,181.008583690987,173.497854077253
3,181.008583690987,174.248927038627
3,181.008583690987,175
3,181.008583690987,175.751072961373
3,181.008583690987,176.502145922747
3,181.759656652361,177.25321888412
3,181.008583690987,178.004291845494
3,181.759656652361,178.755364806867
3,181.008583690987,179.50643776824
3,181.759656652361,180.257510729614
3,181.008583690987,181.008583690987
3,181.759656652361,181.759656652361
3,181.008583690987,182.510729613734
3,181.008583690987,183.261802575107
3,180.257510729614,184.012875536481
3,180.257510729614,184.763948497854
3,180.257510729614,185.515021459227
3,179.50643776824,186.266094420601
3,179.50643776824,187.017167381974
3,179.50643776824,187.768240343348
3,179.50643776824,188.519313304721
3,178.755364806867,189.270386266094
3,178.755364806867,190.021459227468
3,178.004291845494,190.772532188841
3,178.755364806867,191.523605150215
3,178.004291845494,192.274678111588
3,178.004291845494,193.025751072961
3,177.25321888412,193.776824034335
3,177.25321888412,194.527896995708
3,177.25321888412,195.278969957082
3,177.25321888412,196.030042918455
3,176.502145922747,196.781115879828
3,176.502145922747,197.532188841202
3,175.751072961373,198.283261802575
3,175,199.034334763948
3,175,199.785407725322
3,174.248927038627,200.536480686695
3,173.497854077253,201.287553648069
3,172.74678111588,202.038626609442
3,171.995708154506,202.038626609442
3,171.244635193133,202.789699570815
3,170.49356223176,203.540772532189
3,169.742489270386,204.291845493562
3,168.991416309013,205.042918454936
3,168.240343347639,205.042918454936
3,167.489270386266,205.793991416309
3,166.738197424893,205.793991416309
3,165.987124463519,205.793991416309
3,165.236051502146,205.793991416309
3,164.484978540773,205.793991416309
3,163.733905579399,205.793991416309
3,162.982832618026,205.042918454936
3,162.231759656652,205.042918454936
3,161.480686695279,205.042918454936
3,160.729613733906,205.042918454936
3,159.978540772532,205.042918454936
3,159.227467811159,205.042918454936
3,158.476394849785,205.042918454936
3,157.725321888412,205.042918454936
3,156.974248927039,205.042918454936
3,156.223175965665,205.042918454936
3,155.472103004292,205.042918454936
3,154.721030042918,205.042918454936
3,153.969957081545,205.042918454936
3,153.218884120172,205.793991416309
3,152.467811158798,205.042918454936
3,151.716738197425,205.793991416309
